user_id,user_name,user_screenname,user_url,user_description,user_followers,user_friends,created,text,hashtags,mentions,urls,tweet_id,is_quote_status,favorite_count,retweet_count,reply_status_id,lang,source,location,query
876777816251084801,Matteo Benci,hype_fi,,"Singer, musical performer, writer.
@pyconit overmind, @develer event manager, Vocal Blue Trains proud voice, mother of cats, always fighting for equal rights",342,1086,2019-04-30T20:01:22,"RT @ericholscher: I'm headed to #pycon2019 on Wednesday. If you are too, remember to use the Pac-Man Rule to make the event more welcoming…",['pycon2019'],"[(11385212, 'ericholscher')]",[],1123316434917101570,False,0,73,,en,Twitter for Android,,#pycon since:2019-04-30 until:2019-05-01
18393413,frenopatico,frenopatico,,Open your mind. Open your heart. Open the window. Looking for an open world.,999,1827,2019-04-30T19:58:52,"RT @ericholscher: I'm headed to #pycon2019 on Wednesday. If you are too, remember to use the Pac-Man Rule to make the event more welcoming…",['pycon2019'],"[(11385212, 'ericholscher')]",[],1123315803112210433,False,0,73,,en,Twitter for iPhone,,#pycon since:2019-04-30 until:2019-05-01
195423440,Vuyisile Ndlovu,TerraMeijar,https://t.co/aC9DxewxYC,"Software Developer with experience in Web technologies and Python. 
I do Python things @realpython .",690,639,2019-04-30T19:49:07,"RT @ericholscher: I'm headed to #pycon2019 on Wednesday. If you are too, remember to use the Pac-Man Rule to make the event more welcoming…",['pycon2019'],"[(11385212, 'ericholscher')]",[],1123313349322792960,False,0,73,,en,Twitter for Android,,#pycon since:2019-04-30 until:2019-05-01
16741638,Brian S. Corbin,corbinbs,https://t.co/asI6h49MXu,Viola's Dad,462,460,2019-04-30T19:37:02,"It’s #pycon week and you can get a big time conference talk right here in Upstate, SC before heading to  PyCon late… https://t.co/pOMivLVSKc",['pycon'],[],['https://twitter.com/i/web/status/1123310309752569857'],1123310309752569857,True,2,0,,en,Tweetbot for iΟS,,#pycon since:2019-04-30 until:2019-05-01
24961070,Kristian Erik Munk,Googleulv,,"Man, 44 year, single,is computer geek in microsoft windows and ms office. Also techie interest internet og network and coding.",1937,1378,2019-04-30T19:36:16,RT @sashacuerda: Anyone looking for a ticket to #PyCon in a few days? I had a medical issue that is keeping me from travel 😫 and am looking…,['PyCon'],"[(38064163, 'sashacuerda')]",[],1123310117749952517,False,0,9,,en,Twitter for iPhone,,#pycon since:2019-04-30 until:2019-05-01
600128854,Mäh,maehw,,"scout, techi, photographer & dev, also interested in wired and wireless coms, RF, SDR, hamradio, DSP, reverse engineering and space stuff - mainly retweets 😜",182,914,2019-04-30T19:29:22,"RT @ericholscher: I'm headed to #pycon2019 on Wednesday. If you are too, remember to use the Pac-Man Rule to make the event more welcoming…",['pycon2019'],"[(11385212, 'ericholscher')]",[],1123308380075040769,False,0,73,,en,Twitter Web Client,,#pycon since:2019-04-30 until:2019-05-01
951978011955482624,Python Ecuador,pyecuador,https://t.co/OHso3NKSqH,Comunidad de entusiastas de Python y Software Libre. Cuenta de la comunidad de Python Ecuador.,248,56,2019-04-30T19:28:08,"RT @ericholscher: I'm headed to #pycon2019 on Wednesday. If you are too, remember to use the Pac-Man Rule to make the event more welcoming…",['pycon2019'],"[(11385212, 'ericholscher')]",[],1123308067842609154,False,0,73,,en,TweetDeck,,#pycon since:2019-04-30 until:2019-05-01
223617595,Piper ➡️ PyCon,pathunstrom,https://t.co/mTrdOFnDHf,"The NYC Python Games Chick, Inventor of PursuedPyBear, she/her",757,352,2019-04-30T19:01:24,"RT @ericholscher: I'm headed to #pycon2019 on Wednesday. If you are too, remember to use the Pac-Man Rule to make the event more welcoming…",['pycon2019'],"[(11385212, 'ericholscher')]",[],1123301341504376832,False,0,73,,en,Twitter Web Client,,#pycon since:2019-04-30 until:2019-05-01
54869904,David Blanchet,davidblanchet,,"Des fois, on croit que, mais en fait non.",70,437,2019-04-30T18:58:31,"RT @ericholscher: I'm headed to #pycon2019 on Wednesday. If you are too, remember to use the Pac-Man Rule to make the event more welcoming…",['pycon2019'],"[(11385212, 'ericholscher')]",[],1123300614577041408,False,0,73,,en,Twitter for Android,,#pycon since:2019-04-30 until:2019-05-01
5714432,Katie Cunningham @ PyCon,kcunning,http://t.co/UnJGUw0R5c,CTO at Speak Agent. Writer for O'Reilly and Pearson. Procurer of questionable parenting advice. I apparently owe the internet a whole novel. (she/her),4782,3230,2019-04-30T18:55:14,"RT @ericholscher: I'm headed to #pycon2019 on Wednesday. If you are too, remember to use the Pac-Man Rule to make the event more welcoming…",['pycon2019'],"[(11385212, 'ericholscher')]",[],1123299790681513989,False,0,73,,en,TweetDeck,,#pycon since:2019-04-30 until:2019-05-01
